English,Portuguese,Kind,Batch,context,past,present,future
To See,Ver,Irregular,0,,,vejo vês vê vemos vedes veem,
To Read,Ler,Irregular,0,,,leio lês lê lemos ledes leem,
To Say/Tell,Dizer,Irregular,0,,,digo dizes diz dizmos dizeis dizem,
To Do/Make,Fazer,Irregular,0,,,faço fazes faz fazemos fazeis fazem,
To Be,Ser,Irregular,0,permanent,,sou és é somos sois são,
To Be,Estar,Irregular,0,moods/situations,,estou estás está estamos estais estão,
To Bring,Trazer,Irregular,0,,,trago trazes traz trazemos trazeis trazem,
To Drink,Beber,Regular,1,,,,
To Draw,Desenhar,Regular,1,,,,
To Participate,Participar,Regular,1,in,,,
To Cook,Cozinhar,Regular,1,,,,
To Knit,Tricotar,Regular,1,,,,
To Dance,Dançar,Regular,1,,,,
To Sing,Cantar,Regular,1,,,,
To Play,Jogar,Regular,1,game/sports,,,
To Play,Tocar,Regular,1,music,,,
To Surf the Net,Navegar,Regular,1,,,,
To go for Walks,Passear,Regular,2,stroll,,,
To Like,Gostar,Regular,2,,,,
To Speak,Falar,Regular,2,,,,
To Live,Morar,Regular,2,,,,
To Work,Trabalhar,Regular,2,,,,
To Arrive,Chegar,Regular,2,,,,
To Purchase,Comprar,Regular,2,,,,
To Close,Fechar,Regular,2,,,,
To Travel,Viajar,Regular,2,,,,
To Love,Adorar,Regular,2,,,,
To Eat,Comer,Regular,2,,,,
To Protect,Proteger,Irregular,3,,,protejo proteges protege protegemos protegeis protegem,
To Lose,Perder,Irregular,3,,,perco perdes perde perdemos perdeis perdem,
To Know,Conhecer,Irregular,3,person/place,,conheço conheces conhece conhecemos conheceis conhecem,
To Choose,Escolher,Regular,3,,,,
To Sell,Vender,Regular,3,,,,
To Happen,Acontecer,Regular,3,,,,
To Taste/Try,Provar,Regular,4,,,,
To have drink/food,Tomar,Regular,4,,,,
To Dine,Jantar,Regular,4,,,,
To be able to/Can,Poder,Irregular,5,,,Posso podes pode podemos podeis podem,
To wish/want,Querer,Irregular,5,,,quero queres quer queremos quereis querem,
To Put,Pôr,Irregular,5,,,Ponho Pôes Pôe Pomos pondes pôem,